date,1_cap_pres,2_balanced,3_aggressive,4_tactical,spy,qqq,60_40,sso
2010-02-01,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2010-02-02,100445.01692599383,100407.12020278486,100427.60613652131,100119.4059833797,101210.39401382372,100901.5185633147,100840.33597636744,101815.59102073559
2010-02-03,100392.43881742327,100420.38293726894,100449.89193997503,100054.75461160805,100706.06239359126,101456.26792327405,100072.55451789412,101054.5700433239
2010-02-04,98600.0160816157,98074.13895196968,97455.40411653943,97388.7409656325,97597.68747787227,98520.53276442639,98835.09351534423,96375.87220961595
2010-02-05,98961.03616502685,98936.56592311956,98141.54625818919,98560.51204543273,97799.44637224404,99352.72799909847,99043.9121003963,96674.72185334652
2010-02-08,98342.67829508983,98248.08809791683,98014.50078557915,98309.48076402665,97093.33711029783,98636.13266955432,98672.89469879866,95627.73867968572
2010-02-09,99217.0914971765,99029.01068665914,98962.95937360165,99043.12118965382,98312.92669536197,99653.2002846162,99000.91737600641,97429.50898042982
2010-02-10,99759.74601156649,99334.9468740356,99532.07074425252,98532.11295664715,98120.32587754668,99445.15910395529,98503.59586803507,97143.20375476319
2010-02-11,100316.62086105287,99944.37662495722,100816.01186566244,99942.46798509985,99147.28652378255,100947.69343303851,98904.7208763537,98668.30438625597
2010-02-12,100562.83404051798,99905.15283791724,100717.202025062,99621.42472282812,99064.77009806453,101155.77529640401,99017.57887940483,98545.12770495076
2010-02-16,101361.7559250466,101423.89813374206,102273.93053426653,101000.47853291497,100623.53659420225,102450.22776212172,100027.45426879295,100871.01272853732
2010-02-17,101205.17516203827,101473.52014600832,102483.92161794525,100988.09598065072,101100.3564900814,103028.20694640909,99861.50875629697,101588.00162717461
2010-02-18,101215.67023284726,101687.17296359655,102622.24209030496,100171.65152678783,101696.32511790439,103675.4179232537,100061.11010090963,102486.26644099303
2010-02-19,101351.8675486272,101887.00584791852,102824.1625669676,100430.33696539671,101907.22334149061,103629.17185879684,100398.32871056232,102805.07105132678
2010-02-22,101560.00087416469,101891.31567544528,102998.86023421037,100426.17201808811,101925.58636295848,103421.16119016438,100246.97322413482,102832.85826303987
2010-02-23,100823.44168005724,100549.55102870066,101475.75690762352,99047.68457658806,100687.6993721234,102080.40163593293,100114.18214017035,100959.49954100756
2010-02-24,101797.61765527976,101698.58560049254,102624.59999068349,99563.39970531693,101613.81806585734,103120.65839261822,100766.45794755677,102352.42758114566
