date,tier,R_t,cash_pct,n_holdings,turnover,turnover_one_way_nav,cost_pct,holdings
2010-02-01,1_cap_pres,0.317,0.488,12,1.0,0.5125,0.0512,"AIG,CME,ICE,MSCI,NDAQ,TDG,GPN,V,FDS,AMP,BLK,PM"
2010-03-01,1_cap_pres,0.288,0.466,12,0.583,0.3165,0.0316,"LLY,BRO,KO,AMGN,ICE,MA,GILD,CME,NDAQ,MSCI,BMY,GPN"
2010-04-01,1_cap_pres,0.242,0.431,12,0.583,0.3385,0.0338,"V,LLY,MA,GILD,ICE,PODD,BRO,MCO,SPGI,PFE,VRTX,BSX"
2010-05-03,1_cap_pres,0.35,0.513,12,0.5,0.3173,0.0317,"LLY,V,GILD,BMY,AMGN,MA,MRK,INCY,MCO,MSCI,PODD,NDAQ"
2010-06-01,1_cap_pres,0.739,0.804,12,0.5,0.3586,0.0359,"V,LLY,MA,AMP,MSCI,MO,AMGN,JNJ,MCO,AON,EFX,PFE"
2010-07-01,1_cap_pres,0.815,0.861,12,0.833,0.1708,0.0171,"INCY,AMP,GPN,CME,REGN,BLK,RMD,NDAQ,UHS,MSCI,TROW,GE"
2010-08-02,1_cap_pres,0.514,0.636,12,0.833,0.3384,0.0338,"V,MA,IDXX,ICE,UHS,GILD,JNJ,CL,BMY,LLY,CME,BSX"
2010-09-01,1_cap_pres,0.691,0.768,12,0.5,0.2386,0.0239,"LLY,MA,V,BRO,NDAQ,GILD,ICE,UHS,INCY,AMGN,PODD,RMD"
2010-10-01,1_cap_pres,0.471,0.603,12,0.667,0.3144,0.0314,"BRO,ICE,CME,MO,MRK,VRTX,AMP,NDAQ,KMB,PFE,AMGN,TDG"
2010-11-01,1_cap_pres,0.375,0.531,12,0.833,0.4004,0.04,"LLY,BMY,PODD,MCO,MRK,INCY,GPN,BLK,EW,KMB,RMD,V"
2010-12-01,1_cap_pres,0.428,0.571,12,0.583,0.2872,0.0287,"LLY,V,BMY,MO,MCO,MA,SPGI,AFL,MSCI,GILD,INCY,AMGN"
2011-01-03,1_cap_pres,0.25,0.437,12,0.333,0.273,0.0273,"MA,V,MCO,LLY,GILD,MO,INCY,CME,ICE,AMGN,MAS,FDS"
2011-02-01,1_cap_pres,0.167,0.375,12,0.583,0.3881,0.0388,"INCY,MO,V,MSCI,BSX,MRK,MA,BMY,AMGN,RMD,JNJ,SPGI"
2011-03-01,1_cap_pres,0.318,0.488,12,0.333,0.2845,0.0285,"LLY,MA,INCY,MSCI,AMGN,V,VRSK,RMD,MRK,ISRG,BMY,TROW"
2011-04-01,1_cap_pres,0.251,0.438,12,0.5,0.2996,0.03,"ICE,LLY,AMP,RMD,AMGN,AFL,MA,V,CME,BSX,BMY,JNJ"
2011-05-02,1_cap_pres,0.303,0.478,12,0.667,0.4,0.04,"AMP,NDAQ,BRO,ICE,MSCI,TROW,ISRG,CME,AON,GILD,AJG,V"
2011-06-01,1_cap_pres,0.396,0.547,12,0.75,0.403,0.0403,"INCY,AMP,NDAQ,AFL,CME,IDXX,HIG,GE,ALL,BMY,ZBH,LLY"
2011-07-01,1_cap_pres,0.29,0.467,12,0.833,0.4558,0.0456,"LLY,MO,AMGN,MCO,FDS,AMP,PM,RMD,BRO,MRK,CBOE,GILD"
2011-08-01,1_cap_pres,0.6,0.7,12,0.667,0.4185,0.0418,"INCY,BRO,MO,JNJ,MRK,PEP,AMGN,PODD,V,EW,PFE,MSCI"
2011-09-01,1_cap_pres,0.743,0.807,12,0.75,0.2502,0.025,"AMP,MCO,MA,INCY,MSCI,ICE,AFL,V,NDAQ,LLY,UNP,TROW"
2011-10-03,1_cap_pres,0.894,0.92,12,0.583,0.1476,0.0148,"INCY,BRO,AMP,IDXX,MSCI,V,GPN,PODD,RMD,MA,TDG,MRSH"
2011-11-01,1_cap_pres,0.739,0.804,12,0.667,0.1666,0.0167,"LLY,MO,INCY,V,BMY,ICE,AMGN,RMD,CME,MA,NDAQ,REGN"
2011-12-01,1_cap_pres,0.707,0.781,12,0.667,0.1516,0.0152,"CME,LLY,ICE,RMD,AMP,BRO,GILD,AON,KO,AFL,EW,MSCI"
2012-01-03,1_cap_pres,0.585,0.689,12,0.667,0.236,0.0236,"MA,ICE,FDS,NDAQ,MO,MSCI,CME,TDG,CBOE,MNST,MCO,RMD"
2012-02-01,1_cap_pres,0.43,0.572,12,0.583,0.2947,0.0295,"LLY,BMY,MO,MA,NDAQ,V,PFE,KO,ICE,BRO,MSCI,MRK"
2012-03-01,1_cap_pres,0.343,0.507,12,0.667,0.3453,0.0345,"AFL,BRO,GILD,LLY,FDS,MRK,AON,PEP,UAL,AMGN,WTW,NDAQ"
2012-04-02,1_cap_pres,0.329,0.496,12,0.667,0.3367,0.0337,"BRO,AMP,GPN,UHS,PODD,NDAQ,ROK,LLY,AFL,V,UNP,ICE"
2012-05-01,1_cap_pres,0.34,0.505,12,0.5,0.2562,0.0256,"AMP,CME,BLK,ICE,NDAQ,PODD,MCO,V,LLY,MSCI,FAST,MA"
