,Logistic_PC,Elastic_Net,Random_Forest,Gradient_Boost,Delta_AUC,mean_weight,rank,tier
nfci,0.7555627248046756,1.0,0.5934174096196154,0.26145770535001067,0.9017643507234069,0.7024404380995417,1,A
baa_aaa,0.5670671536812091,0.8593429557783505,0.6436068495378192,0.4163099002946401,0.7571054808917888,0.6486864680367616,2,A
dxy,1.0,0.8198174530574502,0.16920225480024953,0.30370941143744073,0.9398130548536372,0.6465084348297555,3,B
mfg_new_orders,0.6903650693852639,0.8951170523319508,0.28922557392550513,0.5915644063771259,0.6962588608868692,0.632506192581343,4,A
anfci,0.7554263303599326,0.6255847077962577,0.5980496294297142,0.206256998983002,0.8730405420514717,0.6116716417240756,5,A
breakeven_5y,0.8699255373026589,0.8301645217245268,0.11644417326545871,0.20399134624353674,1.0,0.6041051157072361,6,A
spx_drawdown,0.7614695395065176,0.6540129381169205,0.38235005605444283,0.12475795276831819,0.9110109796730669,0.5667202932238532,7,C
kcfsi,0.6404700793754068,0.5715062107494497,0.31310130311055656,0.3595997371171514,0.7692256088016234,0.5307805878308376,8,A
loan_tightening,0.6466662116870526,0.5016084947161265,0.3365228083746006,0.41486901358676326,0.6941903888727359,0.5187713834474558,9,A
spx_ret_60d,0.8763852929746969,0.4780896675353752,0.26253838632558135,0.09615333023805722,0.8733424271562393,0.5173018208459901,10,C
def_cyc,0.6881050013794151,0.8222064540894023,0.1621313585068002,0.13735921454642563,0.7597218184664188,0.5139047693976925,11,B
gold_spx,0.6659664668163322,0.7993010030637966,0.10652740319846127,0.24373721587673006,0.7244907086473289,0.5080045595205298,12,B
realized_vol,0.6457153299067113,0.6111555235598524,0.24931306825145808,0.00145994023698346,0.8549497976251681,0.4725187319160347,13,C
vvix,0.3555358700104779,0.809888984437078,0.17976399674432622,0.056831620161008976,0.7143719671727824,0.42327848770513476,14,A
stlfsi,0.5709739183567314,0.5724530921526458,0.17902292941317272,0.0,0.7511460453051223,0.4147191970455345,15,A
yield_3m10y,0.0,0.0,1.0,1.0,0.0,0.4,16,A
hyg_lqd,0.34698278361084806,0.6351026603775755,0.1580170359054528,0.33073628474408323,0.45063619490596785,0.3842949919087855,17,B
consumer_expect,0.3730870508689135,0.3423795790777467,0.32338076911090186,0.5361250306641362,0.31724770231892,0.3784440264081236,18,A
vix,0.5620305554530859,0.2559385703577423,0.033034724952484114,0.18013367175503842,0.6822715176994073,0.3426818080435516,19,A
vix_term,0.42841068371734226,0.5923649040832256,0.0,0.0065894948004766455,0.6579753572307038,0.33706808796634957,20,A
tlt_spx,0.5745561477329186,0.21014323107640118,0.08753475161710432,0.08862043825953715,0.521691003823876,0.2965091145019675,21,B
skew,0.0862769370128766,0.6428963116414856,0.010169198502374303,0.02508433983923885,0.6187302936112182,0.2766314161214387,22,A
oil_60d_vel,0.2721351117130269,0.17621546556216297,0.17885236392535328,0.2554657064432646,0.470236364856097,0.27058100249998096,23,C
