,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
nfci,0.30603290549745366,0.042516405240897726,0.15222852791578984,0.10147493977022473,0.17587506059146044,-0.162626798143934,0.025131928771021602,-0.04181887564431888,-0.033974570571676355,-0.10307722852635053,-0.3351707359710109
anfci,0.2916543797526113,0.030855662182535343,0.17705610498474406,0.03486855781538089,0.22392053023834807,-0.15258241433855543,0.054626662762938136,-0.019568904592420323,0.0288817221040468,-0.11036690317324938,-0.4185154276909584
yield_3m10y,0.08075501464788826,0.3031867860824968,-0.10668534789283503,0.2790932493224153,-0.44173369983103256,-0.03691220898477069,0.20339207398025702,0.4231993073087006,0.02080614060170661,-0.08237264844573525,-0.32897870953963554
breakeven_5y,-0.17154979297803716,-0.3016681128951095,0.24926903215611565,0.01529281431847044,0.09351924116794824,-0.1426511747419818,0.04736742932386102,0.1654733071811048,0.40001979893377765,-0.3158281683994041,-0.06735132285848
baa_aaa,0.22995378434094896,0.1417785714870818,0.18414421099111564,0.3183978562402104,-0.05619387010010625,-0.22348623001591986,0.09011000608962219,0.10424789407610163,-0.15898632795698125,0.02990298943119607,0.4232733056807867
vix_term,0.10240844839444858,-0.3237148745657592,-0.3188379757294808,-0.039655887688636295,0.07267707674967656,0.27389713326471365,0.17132067557165886,0.4881871486635947,-0.13690591996161558,-0.14478509421360386,0.041250222167615744
skew,0.14808237131823748,-0.057120377910031335,0.1793262117450619,0.22525400541292512,-0.06702632918995109,0.5173820282494624,0.2756631607785578,0.025972494370268738,0.2814080815092722,0.5385692144974954,-0.028467577164009772
vix,0.2770610799857969,-0.26709566190964507,-0.1329535537238487,-0.13579652950231927,0.018937527794396374,-0.023326558029579555,0.14937401631412836,0.06741230016003597,-0.09405759948295164,0.035824148141590254,0.13983002677699236
vvix,0.12286696615060648,-0.14863750166878695,-0.3828272222288277,-0.26600146945346365,-0.17073851427524486,-0.41111739729637337,0.2747840354030851,0.10550194008135924,0.016004179146137394,0.02421412145276854,0.008474245310406834
mfg_new_orders,0.05033032220860803,0.29616974382989175,-0.18531105238352158,-0.32030111332326433,0.4972735786888999,0.1027443562750929,-0.0712321083152456,0.13254047585573256,0.1644730199808123,0.008850259971626135,-0.07471179767670981
kcfsi,0.2924345216749324,0.051011881868439565,0.12703859058642772,0.0827650849578994,-0.005179955800340143,-0.11069296381208096,0.08616350832531641,-0.12168836625467437,-0.2658855009153679,-0.10377910844192426,0.09096827247823734
stlfsi,0.2883128834199078,-0.06574944709950528,-0.02712141816241302,-0.03183982005028125,0.10579962903487494,-0.09185761612511041,0.07043760617057777,-0.3024722561047629,-0.15451917910336657,0.22009125346358988,-0.1758571411339021
loan_tightening,0.1558212330162375,0.23637869560942074,0.24210975468086196,-0.09987626257883599,0.26321318993497517,0.16987362220635546,-0.2224522020178456,0.42356925188665523,-0.23241187904871077,-0.06608982555192053,0.252728759956268
consumer_expect,0.025416438447335463,0.3289995144827626,-0.36896615707839914,-0.030861872215925824,0.13931247195300742,0.3017133259373063,0.3575856390207183,-0.28857477250287483,-0.11287504647561188,-0.15891958173463946,-0.017284021021375905
hyg_lqd,0.19966422135481157,0.28646306145496603,-0.03318846954235502,-0.32507559657275925,-0.18348926411535832,-0.15594142712600062,-0.1387897430979973,0.14506715395892414,0.20797420026952537,0.2524875449955492,0.08192955801238412
gold_spx,0.18406890175490806,-0.042337889646955354,0.15128095698582944,-0.31460180065611415,-0.34073847661606504,0.25278243706443415,0.06162553427644715,-0.3103814453969487,0.11181014992643395,-0.39216414823634005,0.24852379747226386
tlt_spx,0.2529882355177035,0.19416795086395297,-0.01867494724251312,-0.18715980255859724,-0.1694081663831931,-0.07835378376853461,-0.14463899798183597,-0.002751731005432969,0.4172396993413818,0.10555113623535983,0.06024138746082681
def_cyc,0.2600771388794857,0.04261241578853804,0.12026123834000006,-0.022736401564410005,-0.137882397053608,0.2844964963796115,-0.033566271431872956,0.03766140534360876,0.11026426123044614,-0.417971145070845,-0.1919530980133275
dxy,0.09555468891575633,0.11361162306274397,-0.2658518580234312,0.4622456323000837,0.28554946879840176,-0.14022081003444867,0.1265051795474557,-0.09311658164205686,0.4623691478574694,-0.19358679240074478,0.33479998760678414
realized_vol,0.25682032860774284,-0.2369950596027098,-0.030764725059330013,0.025454290758882527,0.04675063005962675,0.049277945218058124,-0.050574807825864154,-0.038257333087798516,-0.054601975976210144,0.12085437335401271,-0.04438588053374477
spx_ret_60d,0.18950208015981285,-0.32172687486756935,-0.16910680445982634,0.06298827707746016,0.07158678231905279,0.07851326547212925,-0.3261067394622897,0.0025038398367204216,0.20908176393686298,0.07172360508811539,-0.09465502687973716
spx_drawdown,0.29069594727024406,-0.19135082456334712,0.039316778922153066,0.02173586061992427,0.03747314651918208,0.0031434506989358123,-0.04608562683488507,0.028738300378049707,0.005432867245778121,-0.0034601540921724034,0.2325023169357915
oil_60d_vel,-0.10574773522037503,-0.03742359165126704,0.3917519523065845,-0.2951881263934515,0.19412692115025298,-0.10795332436902173,0.611998602662996,0.09757479091039306,0.11982285907425752,0.08570168821578937,0.05884500614180184
