PC,var_ratio,cumulative
PC1,0.34822273829214484,0.34822273829214484
PC2,0.11669909312213521,0.46492183141428006
PC3,0.07759116271545331,0.5425129941297334
PC4,0.062127323244759745,0.6046403173744932
PC5,0.051808757173159754,0.656449074547653
PC6,0.04767323127864082,0.7041223058262939
PC7,0.03705449548426153,0.7411768013105554
PC8,0.035048216028625005,0.7762250173391804
PC9,0.033980076790845616,0.810205094130026
PC10,0.028670353621234514,0.8388754477512604
PC11,0.02319653239936018,0.8620719801506206
PC12,0.02018575349952713,0.8822577336501477
PC13,0.017768856794832342,0.90002659044498
PC14,0.016668762749076044,0.916695353194056
PC15,0.015411988922206549,0.9321073421162626
PC16,0.014811556414345763,0.9469188985306083
PC17,0.012562516578913687,0.959481415109522
PC18,0.010220451413924038,0.969701866523446
PC19,0.009503730845138952,0.979205597368585
PC20,0.008279682344958541,0.9874852797135436
PC21,0.006471498107191608,0.9939567778207352
PC22,0.00463291493810033,0.9985896927588356
PC23,0.0014103072411645078,1.0
