date,R_t,n_indicators
2005-04-05,0.7893,12
2005-04-06,0.7869,12
2005-04-07,0.7045,12
2005-04-08,0.7602,12
2005-04-11,0.7503,12
2005-04-12,0.7491,12
2005-04-13,0.7609,12
2005-04-14,0.8555,12
2005-04-15,0.8385,12
2005-04-18,0.8623,12
2005-04-19,0.8149,12
2005-04-20,0.8418,12
2005-04-21,0.8084,12
2005-04-22,0.8537,12
2005-04-25,0.8307,12
2005-04-26,0.865,12
2005-04-27,0.7243,16
2005-04-28,0.7752,16
2005-04-29,0.7518,16
2005-05-02,0.7126,16
2005-05-03,0.7019,16
2005-05-04,0.6537,16
2005-05-05,0.6388,16
2005-05-06,0.6651,16
2005-05-09,0.6593,16
2005-05-10,0.7034,16
2005-05-11,0.6726,17
2005-05-12,0.7004,17
2005-05-13,0.7163,17
2005-05-16,0.6629,17
2005-05-17,0.6578,17
2005-05-18,0.6144,17
2005-05-19,0.5949,17
2005-05-20,0.5975,17
2005-05-23,0.5857,17
2005-05-24,0.5778,17
2005-05-25,0.5803,17
2005-05-26,0.5613,17
2005-05-27,0.5227,17
2005-05-31,0.577,17
2005-06-01,0.5251,17
2005-06-02,0.5165,17
2005-06-03,0.5656,17
2005-06-06,0.5751,17
2005-06-07,0.6029,17
2005-06-08,0.5886,17
2005-06-09,0.5865,17
2005-06-10,0.5931,17
2005-06-13,0.5955,17
2005-06-14,0.5653,17
2005-06-15,0.5697,17
2005-06-16,0.5687,17
2005-06-17,0.5467,17
2005-06-20,0.5355,17
2005-06-21,0.5158,19
2005-06-22,0.5167,19
2005-06-23,0.586,19
2005-06-24,0.6338,19
2005-06-27,0.6296,19
2005-06-28,0.5895,19
2005-06-29,0.5969,19
2005-06-30,0.6127,19
2005-07-01,0.6252,20
2005-07-05,0.6079,20
2005-07-06,0.6434,20
2005-07-07,0.6359,20
2005-07-08,0.6048,20
2005-07-11,0.618,20
2005-07-12,0.6446,20
2005-07-13,0.6295,20
2005-07-14,0.5852,20
2005-07-15,0.5448,20
2005-07-18,0.5562,20
2005-07-19,0.5393,20
2005-07-20,0.5551,20
2005-07-21,0.5695,20
2005-07-22,0.5441,20
2005-07-25,0.5496,20
2005-07-26,0.5385,20
2005-07-27,0.5441,20
2005-07-28,0.5509,20
2005-07-29,0.5604,20
2005-08-01,0.4849,20
2005-08-02,0.4635,20
2005-08-03,0.4608,20
2005-08-04,0.4945,20
2005-08-05,0.4957,20
2005-08-08,0.507,20
2005-08-09,0.4729,20
2005-08-10,0.4893,20
2005-08-11,0.4863,20
2005-08-12,0.5134,20
2005-08-15,0.5261,20
2005-08-16,0.5616,20
2005-08-17,0.5368,20
2005-08-18,0.5456,20
2005-08-19,0.5622,20
2005-08-22,0.5608,20
2005-08-23,0.5697,20
2005-08-24,0.5882,20
2005-08-25,0.5817,20
2005-08-26,0.5889,20
2005-08-29,0.582,20
2005-08-30,0.5986,20
2005-08-31,0.581,20
2005-09-01,0.6064,20
2005-09-02,0.6604,20
2005-09-06,0.6237,20
2005-09-07,0.6162,20
2005-09-08,0.6447,20
2005-09-09,0.5792,20
2005-09-12,0.5824,20
2005-09-13,0.6116,20
2005-09-14,0.5983,20
2005-09-15,0.5997,20
2005-09-16,0.5815,20
2005-09-19,0.607,20
2005-09-20,0.6347,20
2005-09-21,0.6773,20
2005-09-22,0.6557,20
2005-09-23,0.6554,20
2005-09-26,0.6445,20
2005-09-27,0.6548,20
2005-09-28,0.6572,20
2005-09-29,0.6242,20
2005-09-30,0.6461,20
2005-10-03,0.6133,20
2005-10-04,0.6757,20
2005-10-05,0.714,20
2005-10-06,0.7023,20
2005-10-07,0.7278,20
2005-10-10,0.7366,20
2005-10-11,0.7391,20
2005-10-12,0.7388,20
2005-10-13,0.7333,20
2005-10-14,0.7155,20
2005-10-17,0.7169,20
2005-10-18,0.739,20
2005-10-19,0.7293,20
2005-10-20,0.7277,20
2005-10-21,0.68,20
2005-10-24,0.6346,20
2005-10-25,0.6337,20
2005-10-26,0.6426,20
2005-10-27,0.6686,20
2005-10-28,0.6497,20
2005-10-31,0.6271,20
2005-11-01,0.6333,20
2005-11-02,0.6242,20
2005-11-03,0.601,20
2005-11-04,0.5941,20
2005-11-07,0.5958,20
2005-11-08,0.586,20
2005-11-09,0.5711,20
