date,R_t_published
2026-05-20,0.4165
2026-05-21,0.3927
2026-05-22,0.3757
2026-05-26,0.3387
2026-05-27,0.315
2026-05-28,0.2994
2026-05-29,0.2585
2026-06-01,0.2803
2026-06-02,0.2669
2026-06-03,0.3877
2026-06-04,0.3647
2026-06-05,0.4269
2026-06-08,0.395
2026-06-09,0.421
2026-06-10,0.437
2026-06-11,0.3773
2026-06-12,0.3356
2026-06-15,0.2965
2026-06-16,0.3027
2026-06-17,0.3463
2026-06-18,0.2843
2026-06-22,0.328
2026-06-23,0.373
2026-06-25,0.3699
2026-06-29,0.3304
2026-06-30,0.3018
2026-07-01,0.289
2026-07-02,0.2917
2026-07-06,0.3072
2026-07-07,0.3192
2026-07-08,0.2933
2026-07-09,0.2873
2026-07-10,0.2744
2026-07-13,0.3177
2026-07-14,0.3034
2026-07-15,0.2249
2026-07-16,0.265
2026-07-17,0.3173
2026-07-20,0.3196
2026-07-21,0.2538
2026-07-22,0.2496
2026-07-23,0.3198
2026-07-24,0.3118
2026-07-27,0.3233
2026-07-28,0.3316
2026-07-29,0.3894
2026-07-30,0.2962
2026-07-31,0.2725
2026-08-03,0.2204
2026-08-04,0.2332
2026-08-05,0.2607
2026-08-06,0.2548
2026-08-07,0.2467
2026-08-10,0.258
2026-08-11,0.2521
2026-08-12,0.2045
2026-08-13,0.1963
2026-08-14,0.1997
2026-08-17,0.2001
2026-08-18,0.2102
2026-08-19,0.1908
