,nfci,anfci,yield_3m10y,breakeven_5y,baa_aaa,vix_term,skew,vix,vvix,mfg_new_orders,kcfsi,stlfsi,loan_tightening,consumer_expect,hyg_lqd,gold_spx,tlt_spx,def_cyc,dxy,realized_vol,spx_ret_60d,spx_drawdown,oil_60d_vel
nfci,1.0,0.9490410953535497,0.18816178239591794,-0.33680338502121354,0.6196317883112639,0.10600216055420966,0.3186961874287046,0.5686442088350913,0.18925851634487187,0.13606555738189455,0.7886122096601026,0.7221663879203799,0.42945563272093873,-0.0029793176769939787,0.42394759932333825,0.3402555942325589,0.5487746769945239,0.6162928954613767,0.2782145045169481,0.5669831490711285,0.3774843600612367,0.6649462335323217,-0.16999619552827727
anfci,0.9490410953535497,1.0,0.13920675370769559,-0.26577754067653486,0.5400043997146544,0.09875320468368484,0.3075022576363694,0.5513213613151862,0.19106249308292375,0.14854063238718496,0.6924005627886429,0.7045306635524873,0.453216729834246,0.002491721868102446,0.4145346994813471,0.3357853779505043,0.5358620123427001,0.5964243059259486,0.23755590930119141,0.5383274001361067,0.3727190994709586,0.625106020740881,-0.08125368814260685
yield_3m10y,0.18816178239591794,0.13920675370769559,1.0,-0.34107984215515563,0.3618452684974718,-0.048994447688939714,0.1208132427150041,-0.036680111629165624,0.06976125918488822,0.016547430905574593,0.20232352780901244,0.01863240668541907,0.1221246841947743,0.22506507901411277,0.3123323511459386,0.030290706127952927,0.2859248538944977,0.23911715224225513,0.1930116524398766,-0.005097668069481064,-0.10759314934951258,0.006365983567625982,-0.22372239786256978
breakeven_5y,-0.33680338502121354,-0.26577754067653486,-0.34107984215515563,1.0,-0.3358489378856645,-0.015465055248689807,-0.13592987454827782,-0.22998779211891435,-0.14972790281293574,-0.27637582059115606,-0.4008692971291069,-0.429827348924632,-0.30825388024266565,-0.4385122822088702,-0.4589578982283724,-0.18491900162578462,-0.43142408993552195,-0.3074097563960335,-0.16835578961637335,-0.20654618572732672,-0.06765263728859892,-0.22210919048188643,0.35642782423175096
baa_aaa,0.6196317883112639,0.5400043997146544,0.3618452684974718,-0.3358489378856645,1.0,-0.039978889295053034,0.2809652715184045,0.35928710335131636,0.05588107912105254,-0.014695158477298891,0.6955167629255313,0.46083257474863004,0.3846613917055305,-0.017194250738469568,0.3387724735284596,0.2029885283778374,0.4491506632242669,0.41250709936909097,0.3042446643443627,0.34927695488321875,0.14110853791407782,0.5195642003472702,-0.15516301742972285
vix_term,0.10600216055420966,0.09875320468368484,-0.048994447688939714,-0.015465055248689807,-0.039978889295053034,1.0,0.15956844474219287,0.5686280663053308,0.33708084782084113,-0.013281796219064583,0.10472160179065323,0.20906731348691582,-0.024524986176090478,-0.016615793044702856,-0.08413290771126747,0.08461145778859426,8.583708175440905e-06,0.2027437974173114,0.05437722642647331,0.3720954695815619,0.4267629010662434,0.3676258610175345,-0.1746117285225775
skew,0.3186961874287046,0.3075022576363694,0.1208132427150041,-0.13592987454827782,0.2809652715184045,0.15956844474219287,1.0,0.2822068803809404,-0.09791111648270516,-0.08715812856751633,0.2925413894073034,0.3112610752982113,0.17544207440934925,-0.0011289979306320329,0.10384621016668184,0.2489150429705165,0.2321407208620215,0.3709840527384854,0.10581242184161996,0.3317428329680019,0.24731502028721364,0.3611046527830535,-0.0321820692213565
vix,0.5686442088350913,0.5513213613151862,-0.036680111629165624,-0.22998779211891435,0.35928710335131636,0.5686280663053308,0.2822068803809404,1.0,0.5256568955316667,-0.002001101696207402,0.578446999447801,0.7007175130966062,0.16063811394426886,-0.05074688943947923,0.3008940798740087,0.42664708158285597,0.4230326653330808,0.47848729180174593,0.11127123749326827,0.7429453021259195,0.588357675127845,0.7845614400372194,-0.16564268406621166
vvix,0.18925851634487187,0.19106249308292375,0.06976125918488822,-0.14972790281293574,0.05588107912105254,0.33708084782084113,-0.09791111648270516,0.5256568955316667,1.0,0.01708400269168583,0.2012711066287455,0.32484550733451306,-0.12374948115599273,0.04383332467475845,0.2811638689765321,0.16708861892794466,0.2471582436693905,0.08674147343857744,0.09074188164221313,0.27274511785270533,0.2973093682219457,0.2809810205447899,-0.13040320267411817
mfg_new_orders,0.13606555738189455,0.14854063238718496,0.016547430905574593,-0.27637582059115606,-0.014695158477298891,-0.013281796219064583,-0.08715812856751633,-0.002001101696207402,0.01708400269168583,1.0,0.06179096676386308,0.08424770500450394,0.3036319491986501,0.385417404876222,0.32454449734537444,-0.02983704304067493,0.27343309829028767,0.07278010405321265,0.13899374409348011,-0.03581986995284117,-0.06656472186500333,-0.012379530269974017,-0.0038995855644143747
kcfsi,0.7886122096601026,0.6924005627886429,0.20232352780901244,-0.4008692971291069,0.6955167629255313,0.10472160179065323,0.2925413894073034,0.578446999447801,0.2012711066287455,0.06179096676386308,1.0,0.6710552056657779,0.3788769388572566,0.06010584786959316,0.4169522011146156,0.4269807913097677,0.5024141138484823,0.5835723752381795,0.1797379529344175,0.5500633006309942,0.2951513109819805,0.6511566455558818,-0.19677637350088475
stlfsi,0.7221663879203799,0.7045306635524873,0.01863240668541907,-0.429827348924632,0.46083257474863004,0.20906731348691582,0.3112610752982113,0.7007175130966062,0.32484550733451306,0.08424770500450394,0.6710552056657779,1.0,0.22925046191234547,0.06205371303710815,0.37485426691220464,0.3647867807896452,0.5121728338959379,0.4911592531535251,0.18157354326169295,0.6227378926204383,0.4486079982597277,0.655378971549561,-0.20494637956664205
loan_tightening,0.42945563272093873,0.453216729834246,0.1221246841947743,-0.30825388024266565,0.3846613917055305,-0.024524986176090478,0.17544207440934925,0.16063811394426886,-0.12374948115599273,0.3036319491986501,0.3788769388572566,0.22925046191234547,1.0,0.08185782022321288,0.4103755243161947,0.18792785449249896,0.3137928941955241,0.38772709976532743,0.03253221431844129,0.17112581067002386,0.03745389849444541,0.2701499393600078,-0.008485315802288926
consumer_expect,-0.0029793176769939787,0.002491721868102446,0.22506507901411277,-0.4385122822088702,-0.017194250738469568,-0.016615793044702856,-0.0011289979306320329,-0.05074688943947923,0.04383332467475845,0.385417404876222,0.06010584786959316,0.06205371303710815,0.08185782022321288,1.0,0.16913545597104437,0.016443883074715594,0.11413126805557629,0.07413472126905793,0.2621795094022692,-0.11117739477405748,-0.16291619341681238,-0.12262461275562953,-0.15956578953261943
hyg_lqd,0.42394759932333825,0.4145346994813471,0.3123323511459386,-0.4589578982283724,0.3387724735284596,-0.08413290771126747,0.10384621016668184,0.3008940798740087,0.2811638689765321,0.32454449734537444,0.4169522011146156,0.37485426691220464,0.4103755243161947,0.16913545597104437,1.0,0.33044110450008024,0.7485309731999791,0.3760177598006363,0.05322115482414518,0.22526509064332487,0.06540314728930649,0.30602269751993383,-0.1459343996526859
