rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
1,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,Compounder,239.8,900.28,1025.65,20.0,19.7,23.0,0.0,ok,False,62.7,36.2,6.6,21.9,20.6,82.6,29.8,8.2,21.8,0.342,0.465,AVGO,,126,19.7,23.0,,False
2,AVGO,Broadcom Inc.,Technology,Semiconductors,Growth,1761.8,370.32,396.1,20.0,20.3,22.0,0.0,ok,False,62.3,19.0,1.5,47.9,76.3,37.3,35.5,1.6,6.7,0.411,0.526,NVDA,,126,20.3,22.0,,True
3,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,Growth,198.9,157.97,165.22,21.5,16.6,20.0,0.0,ok,False,58.1,35.4,2.2,35.1,63.5,31.5,23.4,8.5,0.4,0.456,0.587,AVGO,,126,16.6,20.0,,False
4,NVDA,NVIDIA Corporation,Technology,Semiconductors,Growth,4602.2,190.01,207.06,20.0,18.9,20.0,-2.0,ok,False,56.9,14.8,1.0,85.2,74.1,114.3,40.4,-1.4,-5.5,0.562,0.526,AVGO,,126,18.9,20.0,,True
5,TLN,Talen Energy Corporation,Utilities,Utilities - Independent Power ,Growth,15.1,316.19,375.55,19.0,18.5,19.0,0.0,ok,False,56.5,11.1,9.2,96.7,40.1,-1.9,26.6,-13.9,-18.3,0.362,0.401,AVGO,,126,18.5,19.0,,False
6,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,Speculative,6.8,186.39,266.17,16.0,22.3,18.0,0.0,ok,False,56.3,27.1,2.1,6.5,30.1,29.9,30.5,-1.6,21.4,0.248,0.402,AVGO,,126,22.3,18.0,,False
7,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Compounder,4106.3,335.76,358.39,19.0,17.3,20.0,0.0,ok,False,56.3,22.8,0.6,24.2,60.9,48.7,40.2,3.6,-4.9,0.319,0.311,BMNR,,126,17.3,20.0,,True
8,TSM,Taiwan Semiconductor Manufactu,Technology,Semiconductors,Growth,1943.2,374.67,424.62,24.0,12.0,21.0,-2.0,ok,True,55.0,17.4,,36.0,64.2,40.0,22.9,5.6,5.2,0.549,0.662,NVDA,,126,17.3,21.0,fcf_yield_out_of_range(38.0),False
9,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,Compounder,76.0,535.05,535.69,16.0,17.8,21.0,0.0,ok,False,54.8,17.6,3.3,5.1,20.1,27.0,51.4,-11.4,-26.6,-0.083,0.23,AVGO,,126,17.8,21.0,,False
10,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,Growth,1486.5,585.61,604.33,19.0,18.3,17.0,0.0,ok,False,54.3,15.9,1.7,33.1,81.9,32.9,36.5,-7.8,-17.1,0.406,0.392,NVDA,,126,18.3,15.0,,False
11,ETN,"Eaton Corporation, PLC",Industrials,Specialty Industrial Machinery,Core,140.5,361.88,402.46,15.5,19.5,19.0,0.0,ok,False,54.0,22.9,1.9,16.8,37.1,20.8,30.0,-2.9,-0.0,0.309,0.482,AVGO,,126,19.5,19.0,,False
12,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,Core,2901.1,390.54,397.85,18.0,17.5,18.0,0.0,ok,False,53.5,20.2,1.3,18.3,68.3,34.0,53.9,-9.8,-23.4,0.315,0.407,BMNR,,126,17.5,18.0,,True
13,VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,Growth,85.9,223.04,309.58,20.5,12.0,20.0,0.0,ok,True,52.5,25.1,2.3,30.1,37.2,45.1,13.6,-9.2,10.3,0.325,0.491,AVGO,,126,21.1,20.0,,False
14,GD,General Dynamics Corporation,Industrials,Aerospace & Defense,Compounder,103.0,380.96,361.91,15.5,13.6,21.0,0.0,ok,False,50.1,20.9,5.1,10.3,15.2,18.0,55.7,10.1,2.9,0.042,0.12,BMNR,,126,13.6,21.0,,False
15,PTC,PTC Inc.,Technology,Software - Application,Core,15.3,132.46,127.28,24.0,16.0,10.0,0.0,ok,False,50.0,15.3,6.4,21.7,84.7,34.4,59.8,-14.4,-23.0,0.158,0.479,MSFT,,126,16.0,17.0,,False
16,UBER,"Uber Technologies, Inc.",Technology,Software - Application,Core,144.9,71.2,71.99,21.0,18.9,10.0,0.0,ok,False,49.9,16.1,4.5,14.5,39.6,35.3,41.2,-9.7,-15.6,0.3,0.306,MSFT,,126,18.9,15.0,,False
17,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,Compounder,131.4,569.2,540.74,16.5,11.2,22.0,0.0,ok,False,49.7,17.4,4.2,10.5,11.8,89.2,72.3,5.5,-8.4,-0.122,0.126,AVGO,,126,11.2,22.0,,False
18,NEM,Newmont Corporation,Basic Materials,Gold,Cyclical,96.2,91.34,99.28,22.0,17.4,10.0,0.0,ok,False,49.4,8.6,9.2,15.1,68.0,25.9,42.2,-12.0,-35.3,0.413,0.432,BMNR,,126,17.4,13.0,,False
19,LITE,Lumentum Holdings Inc.,Technology,Communication Equipment,Growth,46.9,602.35,833.51,17.5,21.9,10.0,0.0,ok,False,49.4,32.8,0.2,90.1,40.8,22.8,34.2,1.1,51.6,0.227,0.371,AVGO,,126,21.9,14.0,,False
20,TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Mate,Growth,50.0,319.41,378.63,19.0,20.2,10.0,0.0,ok,False,49.2,30.9,0.6,87.0,58.7,28.7,37.9,11.3,22.8,0.36,0.479,AVGO,,126,20.2,14.0,,False
21,NFLX,"Netflix, Inc.",Communication Services,Entertainment,Core,306.6,73.63,77.79,23.0,16.0,10.0,0.0,ok,False,49.0,19.3,8.3,13.4,49.1,49.5,44.5,-19.8,-17.9,0.137,0.258,MSFT,,126,16.0,14.0,,False
22,ORCL,Oracle Corporation,Technology,Software - Infrastructure,Core,339.1,117.74,166.67,16.0,15.9,19.0,-2.0,ok,False,48.9,10.8,-7.2,20.6,65.8,53.4,28.6,-35.9,-36.2,0.605,0.531,MSFT,,126,15.9,19.0,,False
23,KEYS,Keysight Technologies Inc.,Technology,Scientific & Technical Instrum,Growth,50.7,296.72,334.28,19.0,19.8,10.0,0.0,ok,False,48.8,24.9,2.1,31.5,62.1,18.2,31.7,11.0,29.1,0.253,0.383,AVGO,,126,19.8,15.0,,False
24,EXE,Expand Energy Corporation,Energy,Oil & Gas E&P,Growth,21.4,92.46,90.61,22.5,16.2,10.0,0.0,ok,False,48.7,10.6,7.9,41.0,48.0,17.6,59.0,-9.2,-19.6,-0.091,0.119,AVGO,,126,16.2,13.0,,False
25,CEG,Constellation Energy Corporati,Utilities,Utilities - Independent Power ,Growth,92.1,257.95,263.13,14.0,13.6,21.0,0.0,ok,False,48.6,19.3,-4.9,63.8,23.3,16.1,56.3,-16.4,-15.0,0.252,0.309,BMNR,,126,13.6,21.0,,False
26,TT,Trane Technologies plc,Industrials,Building Products & Equipment,Core,98.8,446.8,469.51,18.5,20.1,10.0,0.0,ok,False,48.6,26.1,2.7,6.0,35.9,36.6,34.0,2.0,9.0,0.196,0.373,AVGO,,126,20.1,14.0,,False
27,AXP,American Express Company,Financial Services,Credit Services,Core,223.9,331.5,331.95,21.0,17.5,10.0,0.0,ok,False,48.5,16.5,,12.8,62.3,34.4,38.4,-1.8,-11.4,0.362,0.328,BMNR,,126,17.5,18.0,,False
28,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,Core,2438.1,226.65,246.97,16.0,17.4,17.0,-2.0,ok,False,48.4,22.8,0.4,16.6,50.6,24.3,27.4,-3.4,-11.6,0.54,0.612,GOOG,,126,17.4,17.0,,False
29,RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,Core,22.4,375.68,382.13,20.0,18.2,10.0,0.0,ok,False,48.2,18.4,2.9,16.6,69.9,34.7,44.2,4.8,2.1,0.299,0.298,BMNR,,126,18.2,13.0,,False
30,RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,Core,31.1,214.29,203.58,21.0,17.1,10.0,0.0,ok,False,48.1,17.7,4.7,10.8,62.2,25.2,55.0,-7.5,-21.3,0.061,0.268,GOOG,,126,17.1,17.0,,False
31,ADBE,Adobe Inc.,Technology,Software - Application,Core,104.7,263.43,250.26,23.0,15.0,10.0,0.0,ok,False,48.0,9.6,8.8,12.7,89.4,63.0,68.4,-5.0,-16.9,0.254,0.618,MSFT,,126,15.0,17.0,,False
32,GEN,Gen Digital Inc.,Technology,Software - Infrastructure,Core,16.5,27.63,26.25,22.5,15.1,10.0,0.0,ok,False,47.6,8.4,8.6,27.0,78.5,39.9,63.9,14.7,7.8,0.416,0.543,MSFT,,126,15.1,17.0,,False
33,BX,Blackstone Inc.,Financial Services,Asset Management,Core,161.1,129.4,122.93,22.5,15.1,10.0,0.0,ok,False,47.6,17.3,,28.6,100.0,31.4,61.4,-0.9,-14.8,0.396,0.38,BMNR,,126,15.1,16.0,,False
34,GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,Core,164.8,132.73,129.39,21.0,16.5,10.0,0.0,ok,False,47.5,13.8,4.8,4.4,79.4,43.4,46.4,1.8,-8.7,0.036,0.088,GOOG,,126,16.5,17.0,,False
35,DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,Core,14.1,103.54,105.82,19.5,18.0,10.0,0.0,ok,False,47.5,12.4,,5.7,57.8,42.6,48.7,1.3,1.2,0.233,0.262,GOOG,,126,18.0,12.0,,False
36,STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Brewers,Core,22.5,131.75,138.79,19.5,17.8,10.0,0.0,ok,False,47.3,10.6,9.8,-3.3,52.7,23.7,48.7,-8.7,-20.2,-0.137,0.206,BMNR,,126,17.8,17.0,,False
37,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,Core,443.3,112.48,117.48,19.5,17.8,10.0,0.0,ok,False,47.3,23.5,2.1,12.0,64.3,25.2,38.9,27.3,38.9,0.243,0.355,AVGO,,126,17.8,15.0,,False
38,MKC,"McCormick & Company, Incorpora",Consumer Defensive,Packaged Foods,Core,14.0,51.99,49.39,20.0,17.2,10.0,0.0,ok,False,47.2,15.8,5.1,16.7,38.9,24.7,51.7,-10.0,-19.3,-0.154,0.264,NVDA,,126,17.2,16.0,,False
39,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas E&P,Cyclical,26.9,389.41,395.26,18.0,19.1,10.0,0.0,ok,False,47.1,5.3,-0.2,20.8,93.2,36.5,49.4,1.6,5.2,-0.006,0.108,GOOG,,126,19.1,14.0,,False
40,MU,"Micron Technology, Inc.",Technology,Semiconductors,Growth,834.6,739.0,958.4,20.0,17.1,10.0,0.0,ok,False,47.1,4.8,0.9,345.7,72.6,66.6,30.6,44.5,65.0,0.344,0.489,AVGO,,126,17.1,15.0,,False
