rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
1,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,Compounder,246.1,923.91,1005.87,20.0,18.1,23.0,-2.0,ok,0.0,ok,-2.29,,False,59.1,36.6,6.4,21.9,20.6,82.6,41.3,3.6,-2.7,0.592,0.688,ETN,,126,18.1,23.0,,False
2,AVGO,Broadcom Inc.,Technology,Semiconductors,Growth,1716.7,360.83,383.23,20.0,17.8,22.0,-2.0,ok,0.0,ok,0.68,,False,57.8,18.6,1.8,85.5,75.5,44.2,47.7,-2.4,-6.1,0.551,0.58,TSM,,126,17.8,22.0,,True
3,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Compounder,4040.6,330.39,345.63,19.0,17.9,20.0,0.0,ok,0.0,ok,-0.7,,False,56.9,22.2,0.6,24.2,60.9,48.7,42.1,-1.5,-4.8,0.332,0.292,TSM,,126,17.9,20.0,,True
4,TSM,Taiwan Semiconductor Manufactu,Technology,Semiconductors,Growth,2220.0,428.03,419.15,24.0,15.7,21.0,-4.0,ok,0.0,ok,-0.77,,False,56.7,19.5,,36.0,64.2,40.0,57.7,14.4,14.0,0.713,0.654,ETN,,126,15.7,21.0,fcf_yield_out_of_range(32.9),True
5,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,Compounder,122.3,530.12,556.36,18.0,16.6,22.0,0.0,ok,-0.5,ok,1.73,,False,56.1,16.2,4.5,10.5,11.8,89.2,28.7,-4.8,-32.6,-0.074,0.184,TSM,,126,16.6,22.0,,False
6,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,Compounder,73.7,518.95,544.71,16.0,18.6,21.0,0.0,ok,-1.5,ok,2.03,,False,54.1,17.0,3.4,5.1,20.1,27.0,23.1,-13.7,-43.3,-0.074,0.246,TSM,,126,18.6,21.0,,False
7,NVDA,NVIDIA Corporation,Technology,Semiconductors,Growth,5272.7,218.36,212.17,20.0,16.0,19.8,-2.0,ok,0.0,ok,-0.12,,False,53.8,14.0,0.8,105.9,74.7,117.2,51.0,10.7,5.5,0.598,0.646,TSM,,126,16.0,20.0,,True
8,BX,Blackstone Inc.,Financial Services,Asset Management,Core,149.9,125.41,133.4,22.5,21.0,10.0,0.0,ok,0.0,financial_na,,,False,53.5,16.7,,28.6,100.0,31.4,18.3,-3.2,10.2,0.282,0.334,GOOG,,126,21.0,16.0,,False
9,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,Speculative,6.4,176.89,211.23,17.5,18.6,18.0,-2.0,ok,0.0,ok,-2.67,,False,52.1,25.3,3.0,8.9,30.1,28.3,30.3,-12.2,-10.4,0.612,0.753,ETN,,126,18.6,18.0,,False
10,VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,Core,95.5,248.13,279.82,20.5,16.7,16.7,-2.0,ok,0.0,ok,0.08,,False,51.9,27.2,2.8,24.1,38.0,43.9,43.0,-4.2,-20.3,0.502,0.792,ETN,,126,16.7,20.0,,True
11,NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,Core,57.1,226.46,247.02,22.0,20.3,10.0,0.0,ok,-0.5,ok,1.53,,False,51.8,12.5,6.2,19.5,56.1,27.9,54.6,-7.1,5.3,0.345,0.441,ETN,,126,20.3,14.0,,False
12,NFLX,"Netflix, Inc.",Communication Services,Entertainment,Core,316.5,76.01,75.64,23.0,18.8,10.0,0.0,ok,0.0,ok,0.51,,False,51.8,19.9,8.0,13.4,49.1,49.5,37.9,-12.0,-33.2,-0.032,0.347,ETN,,126,18.8,14.0,,False
13,RTX,RTX Corporation,Industrials,Aerospace & Defense,Compounder,267.0,198.12,208.26,15.5,15.5,21.0,0.0,ok,-0.5,ok,1.92,,False,51.5,25.2,3.7,14.5,20.3,12.3,20.1,2.5,-16.2,0.002,0.127,AVGO,,126,15.5,21.0,,False
14,GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,Core,12.2,96.37,94.01,22.0,19.9,10.0,0.0,ok,-0.5,ok,1.91,,False,51.4,8.7,9.9,6.6,63.8,442.9,47.1,0.7,5.6,-0.164,0.471,ETN,,126,19.9,17.0,,False
15,EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,Core,33.2,276.88,295.53,23.0,18.2,10.0,0.0,ok,0.0,ok,-0.5,,False,51.2,11.4,10.3,14.0,90.4,89.5,30.2,6.9,7.9,0.03,0.231,GOOG,,126,18.2,15.0,,False
16,FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchang,Speculative,9.4,262.93,275.49,21.0,20.2,10.0,0.0,ok,0.0,financial_na,,,False,51.2,13.3,6.6,6.4,51.4,27.0,31.3,5.5,15.4,-0.138,0.432,ETN,,126,20.2,15.0,,False
17,ADSK,"Autodesk, Inc.",Technology,Software - Application,Core,44.2,211.61,231.56,23.0,18.1,10.0,0.0,ok,0.0,ok,-0.2,,False,51.1,14.9,7.1,16.1,92.5,53.9,29.2,-13.9,-29.1,-0.048,0.421,ETN,,126,18.1,17.0,,False
18,PATH,"UiPath, Inc.",Technology,Software - Infrastructure,Speculative,7.2,13.87,14.08,22.0,19.0,10.0,0.0,ok,0.0,ok,-6.52,,False,51.0,15.1,6.6,13.4,82.6,20.0,38.6,7.5,8.2,0.141,0.438,MSFT,,126,19.0,17.0,,False
19,APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,Growth,75.5,127.91,127.77,21.0,19.9,10.0,0.0,ok,0.0,financial_na,,,False,50.9,11.9,,63.8,36.1,11.4,45.1,0.2,13.8,0.319,0.33,GOOG,,126,19.9,14.0,,False
20,ADBE,Adobe Inc.,Technology,Software - Application,Core,98.9,248.83,251.78,23.0,17.9,10.0,0.0,ok,0.0,ok,0.15,,False,50.9,9.0,9.3,12.7,89.4,63.0,35.7,-6.8,-21.5,-0.035,0.435,ETN,,126,17.9,17.0,,False
21,AXP,American Express Company,Financial Services,Credit Services,Core,216.6,320.71,340.42,21.5,18.8,10.0,0.0,ok,0.0,financial_na,,,False,50.3,15.9,,12.8,62.3,34.4,35.0,-4.6,-7.2,0.329,0.383,GOOG,,126,18.8,18.0,,False
22,INCY,Incyte Corporation,Healthcare,Biotechnology,Growth,25.0,123.28,121.45,23.0,17.2,10.0,0.0,ok,0.0,ok,-2.32,,False,50.2,13.9,4.7,37.7,55.7,30.7,41.6,17.3,20.2,-0.136,0.192,AVGO,,126,17.2,16.0,,False
23,TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,Core,22.9,107.55,114.2,20.5,19.5,10.0,0.0,ok,0.0,financial_na,,,False,50.0,10.4,8.8,10.7,51.6,19.4,29.4,4.3,10.4,0.204,0.257,GOOG,,126,19.5,15.0,,False
24,RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,Core,20.1,336.67,375.14,22.0,18.0,10.0,0.0,ok,0.0,ok,0.67,,False,50.0,16.1,4.4,14.0,70.3,37.5,25.0,-8.0,-13.0,0.313,0.348,TSM,,126,18.0,13.0,,False
25,PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,Core,45.6,53.31,55.56,20.0,20.0,10.0,0.0,ok,0.0,financial_na,,,False,50.0,9.2,9.7,4.8,40.5,24.5,29.1,4.8,6.4,0.156,0.297,MSFT,,126,20.0,17.0,,False
26,ARES,Ares Management Corporation,Financial Services,Asset Management,Core,43.1,130.63,132.55,17.5,22.4,10.0,0.0,ok,0.0,financial_na,,,False,49.9,18.2,5.0,5.8,37.4,14.9,31.8,-1.2,23.4,0.376,0.384,GOOG,,126,22.4,14.0,,False
