rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
1,AVGO,Broadcom Inc.,Technology,Semiconductors,Growth,1619.5,344.72,382.74,20.0,19.8,22.0,-2.0,ok,0.0,ok,0.68,,False,59.8,17.5,1.9,85.5,75.5,44.2,35.4,-6.8,-5.7,0.547,0.586,TSM,,123,19.8,22.0,,True
2,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,Compounder,235.1,874.76,1000.68,20.0,18.3,23.0,-2.0,ok,0.0,ok,-2.29,,False,59.3,34.9,6.7,21.9,20.6,82.6,35.4,-2.1,-4.2,0.586,0.696,ETN,,123,18.3,23.0,,False
3,TSM,Taiwan Semiconductor Manufactu,Technology,Semiconductors,Growth,2145.9,418.01,418.63,24.0,17.0,21.0,-4.0,ok,0.0,ok,-0.77,,False,58.0,18.9,,36.0,64.2,40.0,49.4,11.5,11.2,0.717,0.654,ETN,,123,17.0,21.0,fcf_yield_out_of_range(34.1),True
4,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,Compounder,123.1,529.38,556.52,18.0,17.1,22.0,0.0,ok,-0.5,ok,1.73,,False,56.6,16.3,4.5,10.5,11.8,89.2,31.0,-5.0,-31.0,-0.076,0.181,TSM,,123,17.1,22.0,,False
5,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Compounder,4175.7,345.71,345.38,19.0,17.4,20.0,0.0,ok,0.0,ok,-0.7,,False,56.4,23.0,0.5,24.2,60.9,48.7,53.2,3.0,1.7,0.326,0.285,TSM,,123,17.4,20.0,,True
6,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,Compounder,75.5,527.39,544.86,16.0,18.9,21.0,0.0,ok,-1.5,ok,2.03,,False,54.4,17.4,3.3,5.1,20.1,27.0,35.0,-12.3,-41.1,-0.073,0.244,TSM,,123,18.9,21.0,,False
7,VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,Core,90.3,237.39,278.34,20.5,17.4,16.1,0.0,ok,0.0,ok,0.08,,False,54.0,25.7,3.0,24.1,38.0,43.9,40.3,-8.5,-21.2,0.5,0.798,ETN,,123,17.4,20.0,,True
8,NVDA,NVIDIA Corporation,Technology,Semiconductors,Growth,5123.3,210.96,212.44,20.0,16.4,19.2,-2.0,ok,0.0,ok,-0.12,,False,53.6,13.6,0.8,105.9,74.7,117.2,47.7,6.9,4.1,0.593,0.648,TSM,,123,16.4,20.0,,True
9,BX,Blackstone Inc.,Financial Services,Asset Management,Core,151.4,128.29,133.58,22.5,20.6,10.0,0.0,ok,0.0,financial_na,,,False,53.1,16.9,,28.6,100.0,31.4,21.0,-0.9,8.3,0.289,0.337,GOOG,,123,20.6,16.0,,False
10,NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,Core,57.1,224.23,245.92,22.0,20.4,10.0,0.0,ok,-0.5,ok,1.53,,False,51.9,12.5,6.2,19.5,56.1,27.9,48.2,-8.1,5.1,0.338,0.438,ETN,,123,20.4,14.0,,False
11,EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,Core,35.2,287.86,295.99,23.0,18.7,10.0,0.0,ok,0.0,ok,-0.5,,False,51.7,12.0,9.8,14.0,90.4,89.5,36.8,11.0,13.1,0.024,0.228,GOOG,,123,18.7,15.0,,False
12,RTX,RTX Corporation,Industrials,Aerospace & Defense,Compounder,263.5,195.34,208.33,15.5,15.6,21.0,0.0,ok,-0.5,ok,1.92,,False,51.6,24.9,3.7,14.5,20.3,12.3,19.8,1.0,-17.4,-0.007,0.131,AVGO,,123,15.6,21.0,,False
13,FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchang,Speculative,9.9,276.93,276.12,21.0,20.5,10.0,0.0,ok,0.0,financial_na,,,False,51.5,14.0,6.3,6.4,51.4,27.0,39.8,11.1,21.7,-0.142,0.439,ETN,,123,20.5,15.0,,False
